[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170625,0.00120000,0.00142998,0.00070075,0.00096163,162.92770473,174524.41115789
20170626,0.00095868,0.00109350,0.00092000,0.00098010,689.96372674,703124.31399096
20170627,0.00098009,0.00105940,0.00091111,0.00092100,535.88719153,537265.31867003
20170628,0.00093500,0.00096668,0.00080147,0.00084970,515.04273047,562502.26287334
20170629,0.00084970,0.00088000,0.00082151,0.00087990,176.35940979,206170.74817805
20170630,0.00087990,0.00093923,0.00084000,0.00088510,228.56048154,258256.94891625
20170701,0.00088997,0.00094997,0.00088510,0.00093144,205.07596713,222868.32353236
20170702,0.00090410,0.00094500,0.00086181,0.00089498,170.21153336,187442.31937993
20170703,0.00089554,0.00092071,0.00088094,0.00091002,106.06776140,117323.46840948
20170704,0.00091002,0.00093600,0.00089027,0.00092998,239.87396795,261348.02938042
20170705,0.00092998,0.00097500,0.00091567,0.00094970,259.11560220,273702.72517432
20170706,0.00094970,0.00097000,0.00091750,0.00093099,130.92388030,138560.42323618
20170707,0.00094759,0.00097498,0.00092363,0.00097225,177.65091515,187095.87380822
20170708,0.00097000,0.00099831,0.00091351,0.00095675,365.16263285,383934.71674541
20170709,0.00095675,0.00097650,0.00094001,0.00095000,109.41041174,114081.19620239
20170710,0.00095000,0.00097383,0.00090002,0.00091400,507.64948466,532990.32593324
20170711,0.00090015,0.00096800,0.00086600,0.00093999,422.93247222,464652.65782277
20170712,0.00091009,0.00094000,0.00085000,0.00089281,552.83697982,606448.47083663
20170713,0.00089075,0.00098500,0.00087591,0.00093025,583.16172446,620478.36095869
20170714,0.00093025,0.00095800,0.00091571,0.00093998,104.23680279,111398.15039193
20170715,0.00093998,0.00101256,0.00092025,0.00101256,395.18428124,409846.96523045
20170716,0.00101256,0.00104056,0.00092090,0.00094854,898.38462191,934720.27106815
20170717,0.00094855,0.00096000,0.00088698,0.00090141,605.38606314,659420.09219758
20170718,0.00090143,0.00092042,0.00070000,0.00077450,482.36626727,572957.07791313
20170719,0.00079569,0.00091476,0.00073904,0.00083641,549.27296234,658162.49031915
20170720,0.00082788,0.00089871,0.00077979,0.00083575,855.33439488,1040398.50290847
20170721,0.00083575,0.00088056,0.00080000,0.00085693,660.39293721,792168.60098243
20170722,0.00085511,0.00089315,0.00082501,0.00083642,608.40438353,717795.00196550
20170723,0.00083656,0.00090453,0.00083656,0.00086559,691.59697710,796688.36482176
20170724,0.00086559,0.00086936,0.00084126,0.00084800,511.51356193,597391.03233636
20170725,0.00085608,0.00088250,0.00083015,0.00085216,393.61733154,459544.48707431
20170726,0.00085216,0.00086639,0.00084500,0.00085362,251.78175872,294566.51638131
20170727,0.00085362,0.00087000,0.00084346,0.00085002,264.50954198,308521.23315564
20170728,0.00085002,0.00087000,0.00083000,0.00084334,323.13277741,379572.25059903
20170729,0.00085365,0.00088000,0.00081365,0.00082000,587.03629619,688868.96608796
20170730,0.00083449,0.00085088,0.00081372,0.00083770,215.89512879,260553.71453393
20170731,0.00083888,0.00084597,0.00081421,0.00082395,551.22048725,664939.95264085
20170801,0.00082005,0.00082474,0.00075000,0.00076974,1382.09782744,1768693.57097553
20170802,0.00078768,0.00081361,0.00076208,0.00079000,518.93925716,658542.69195403
